2018-07-23 14:36:46,031 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //*[@data-action='showToolsDialog']] 
2018-07-23 14:36:46,093 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //*[@data-action='showToolsDialog']] 
2018-07-23 14:36:48,115 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //img[@class='header__tools__item__icon'][1]] 
2018-07-23 14:36:48,178 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //img[@class='header__tools__item__icon'][1]] 
2018-07-23 14:36:49,250 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //div[@class='idp'][2]] 
2018-07-23 14:36:51,124 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //div[@class='idp'][2]] 
2018-07-23 14:36:51,223 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //span[@class='lvHighlightAllClass lvHighlightSubjectClass'][1]] 
2018-07-23 14:36:51,609 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //span[@class='lvHighlightAllClass lvHighlightSubjectClass'][1]] 
2018-07-23 14:36:53,222 INFO  [Log] Title from Epost: Test message 
2018-07-23 14:36:53,222 INFO  [Log] Send Message Test OK 
2018-07-23 14:36:53,222 INFO  [Log] Varsel OK 
2018-07-23 14:36:53,320 INFO  [Log] Write Data OK 
2018-07-23 14:36:53,338 INFO  [Log] Write Data OK 
2018-07-23 14:36:54,114 INFO  [Log] XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX 
2018-07-23 14:36:54,114 INFO  [Log] X 
2018-07-23 14:36:54,114 INFO  [Log] X 
2018-07-23 14:36:54,114 INFO  [Log] X 
2018-07-23 14:36:54,114 INFO  [Log] X 
